id,name,prognr,data_type,path
0x053d0236,standby_status,0,Setting(1),system/standby_status
0x313d052f,warmwater_temperature,8701,Float(64),temperature/warmwater
0x313d0571,warmwater_status,1600,Setting(2),system/warmwater_status
0x0d3d0519,boiler_temperature,8702,Float(64),temperature/boiler
0x0d3d08eb,boiler_set_point_manual_mode,2214,Float(64),temperature/boiler_manual_mode
0x053d0521,outside_temperature,8700,Float(64),temperature/outside
0x113d051a,boiler_return_temperature,8703,Float(64),temperature/boiler_return
0x053d19f0,water_pressure,8704,Float(10),system/water_pressure
0x0500006c,current_time,0,DateTime,system/time
0x053d0aa0,warmwater_schedule,0,Schedule,warmwater/schedule
0x053d0a8c,heating_circuit_1_schedule,0,Schedule,heating_circuit/1/schedule
0x2d3d0574,heating_circuit_1_mode,700,Setting(3),heating_circuit/1/mode
0x2d3d058e,heating_circuit_1_set_point_comfort,710,Float(64),heating_circuit/1/set_point/comfort
0x2d3d0590,heating_circuit_1_set_point_reduced,711,Float(64),heating_circuit/1/set_point/reduced
0x2d3d0592,heating_circuit_1_set_point_freeze_protect,712,Float(64),heating_circuit/1/set_point/freeze_protect
0x2d3d05f6,heating_circuit_1_curve_slope,713,Float(50),heating_circuit/1/curve_slope
0x2d3d05fd,heating_circuit_1_summer_winter_treshold_temperature,714,Float(64),heating_circuit/1/winter_threshold_temperature
0x2d3d0610,heating_circuit_1_curve_shift,715,Float(64),heating_circuit/1/curve_shift
0x213d0663,heating_circuit_1_flow_temperature_minimum,716,Float(64),heating_circuit/1/flow_temperature/min
0x213d0662,heating_circuit_1_flow_temperature_maximum,717,Float(64),heating_circuit/1/flow_temperature/max
0x063d0a8c,heating_circuit_2_schedule,0,Schedule,heating_circuit/2/schedule
0x2e3d0574,heating_circuit_2_mode,1000,Setting(3),heating_circuit/2/mode
0x2e3d058e,heating_circuit_2_set_point_comfort,720,Float(64),heating_circuit/2/set_point/comfort
0x2e3d0590,heating_circuit_2_set_point_reduced,721,Float(64),heating_circuit/2/set_point/reduced
0x2e3d0592,heating_circuit_2_set_point_freeze_protect,722,Float(64),heating_circuit/2/set_point/freeze_protect
0x2e3d05f6,heating_circuit_2_curve_slope,723,Float(50),heating_circuit/2/curve_slope
0x2e3d05fd,heating_circuit_2_summer_winter_treshold_temperature,724,Float(64),heating_circuit/2/winter_threshold_temperature
0x2e3d0610,heating_circuit_2_curve_shift,725,Float(64),heating_circuit/2/curve_shift
0x223d0663,heating_circuit_2_flow_temperature_minimum,726,Float(64),heating_circuit/2/flow_temperature/min
0x223d0662,heating_circuit_2_flow_temperature_maximum,727,Float(64),heating_circuit/2/flow_temperature/max
0x0d3d092a,chimney_sweeper_function,7130,Setting(2),system/chimney_sweeper_function
0x053d056f,outside_temperature_minimum,8705,Float(64),temperature/outside/min
0x053d056e,outside_temperature_maximum,8706,Float(64),temperature/outside/max
0x2d3d0640,daily_heating_treshold,730,Float(64),system/daily_heating_treshold
0x2d3d0614,room_temperature_limit,731,Float(64),temperature/room_limit
0x053d06d3,history_1_date_time,0,DateTime,system/errors/1/date_time
0x053d0814,history_1_error_code,0,Number,system/errors/1/code
0x053d06d4,history_2_date_time,0,DateTime,system/errors/2/date_time
0x053d0815,history_2_error_code,0,Number,system/errors/2/code
0x053d06d5,history_3_date_time,0,DateTime,system/errors/3/date_time
0x053d0816,history_3_error_code,0,Number,system/errors/3/code
0x053d06d6,history_4_date_time,0,DateTime,system/errors/4/date_time
0x053d0817,history_4_error_code,0,Number,system/errors/4/code
0x053d06d7,history_5_date_time,0,DateTime,system/errors/5/date_time
0x053d0818,history_5_error_code,0,Number,system/errors/5/code